taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
393;2016-12-14T15:15;600;0.0;7.25;0.0;készpénz
6749;2016-12-14T16:15;360;0.0;6.0;0.0;készpénz
7092;2016-12-14T17:15;780;0.0;9.0;2.0;bankkártya
7748;2016-12-14T18:00;1020;0.0;9.5;2.0;bankkártya
8661;2016-12-14T18:30;60;0.0;3.25;0.0;készpénz
8016;2016-12-14T18:30;1140;0.0;13.75;2.95;bankkártya
1243;2016-12-14T20:00;780;0.0;8.25;3.0;bankkártya
2918;2016-12-14T20:15;540;0.0;7.0;1.4;bankkártya
1347;2016-12-15T05:00;60;0.0;3.25;0.0;készpénz
7523;2016-12-15T08:45;1740;0.0;20.0;5.0;bankkártya
1262;2016-12-15T10:00;240;0.0;5.0;0.0;készpénz
4872;2016-12-15T12:30;540;0.0;7.5;0.0;készpénz
1751;2016-12-15T13:45;660;0.0;9.0;0.0;készpénz
8397;2016-12-15T14:00;335;0.0;5.0;0.0;készpénz
3891;2016-12-15T18:45;240;0.0;5.25;0.0;készpénz
2066;2016-12-15T20:30;240;0.0;6.0;1.0;bankkártya
5796;2016-12-15T21:00;300;0.0;5.75;2.0;bankkártya
1164;2016-12-15T22:15;360;0.0;6.75;2.0;bankkártya
5636;2016-12-16T00:30;660;0.0;8.0;1.0;bankkártya
5143;2016-12-16T01:30;300;0.0;7.0;2.0;bankkártya
7210;2016-12-16T08:00;360;0.0;5.75;0.0;készpénz
5400;2016-12-16T08:45;300;0.0;5.25;2.0;bankkártya
548;2016-12-16T09:30;360;0.0;6.0;0.0;készpénz
2448;2016-12-16T12:15;540;0.0;8.25;2.0;bankkártya
6744;2016-12-16T13:00;420;0.0;6.25;2.0;bankkártya
2663;2016-12-16T13:15;11;0.0;3.25;0.0;készpénz
8648;2016-12-16T14:45;2160;0.0;27.75;4.0;bankkártya
629;2016-12-16T15:45;1200;0.0;13.5;0.0;készpénz
6317;2016-12-16T17:00;840;0.0;8.75;0.0;készpénz
3238;2016-12-16T18:00;1140;0.0;9.75;0.0;készpénz
6830;2016-12-16T19:00;60;0.0;3.25;0.0;készpénz
3356;2016-12-16T22:00;660;0.0;14.25;0.0;készpénz
8232;2016-12-16T22:00;1140;0.0;14.0;0.0;készpénz
6;2016-12-16T23:30;840;0.0;20.5;5.35;bankkártya
4106;2016-12-17T09:00;420;0.0;8.25;0.0;készpénz
1383;2016-12-17T12:30;240;0.0;6.0;2.0;bankkártya
7810;2016-12-17T13:15;60;0.0;0.01;0.0;készpénz
1385;2016-12-17T15:30;1980;0.0;21.0;0.0;készpénz
7776;2016-12-17T16:00;780;0.0;8.5;3.0;bankkártya
3014;2016-12-17T16:45;420;0.0;5.75;4.0;bankkártya
3865;2016-12-17T16:45;360;0.0;6.5;2.0;bankkártya
6562;2016-12-17T16:45;360;0.0;5.75;0.0;készpénz
1587;2016-12-17T21:00;2220;0.0;44.5;5.0;bankkártya
7992;2016-12-17T22:15;3120;0.0;43.5;12.0;bankkártya
8117;2016-12-17T22:30;600;0.0;7.0;0.0;készpénz
6094;2016-12-17T23:15;480;0.0;6.25;0.0;készpénz
53;2016-12-18T01:15;300;0.0;5.5;0.0;készpénz
3209;2016-12-18T05:30;660;0.0;10.0;0.0;készpénz
1633;2016-12-18T11:00;660;0.0;9.5;0.0;készpénz
7523;2016-12-18T15:00;480;0.0;7.0;1.0;bankkártya
4680;2016-12-18T19:15;480;0.0;6.75;0.0;készpénz
3089;2016-12-19T02:30;240;0.0;6.25;2.0;bankkártya
1030;2016-12-19T09:15;480;0.0;6.75;1.0;bankkártya
3721;2016-12-19T14:15;720;0.0;9.5;0.0;készpénz
3773;2016-12-19T14:30;480;0.0;6.5;0.0;készpénz
6989;2016-12-19T14:45;300;0.0;5.25;0.0;készpénz
7257;2016-12-19T15:15;840;0.0;9.25;0.0;készpénz
6407;2016-12-19T15:15;180;0.0;4.75;0.0;készpénz
4653;2016-12-19T16:15;600;0.0;7.5;2.0;bankkártya
4254;2016-12-19T17:30;240;0.0;4.5;2.0;bankkártya
1736;2016-12-19T20:30;180;0.0;4.5;2.0;bankkártya
6902;2016-12-20T02:45;300;0.0;6.25;2.0;bankkártya
6016;2016-12-20T08:15;660;0.0;20.1;0.0;ismeretlen
788;2016-12-20T08:45;600;0.0;7.75;4.38;bankkártya
7375;2016-12-20T15:45;480;0.0;6.25;0.0;készpénz
1989;2016-12-20T16:45;300;0.0;5.75;0.0;készpénz
6923;2016-12-20T17:00;240;0.0;4.25;0.0;készpénz
5475;2016-12-20T18:00;300;0.0;5.5;0.0;készpénz
1261;2016-12-20T18:45;600;0.0;7.25;1.5;bankkártya
5114;2016-12-20T19:30;2040;0.0;32.25;8.05;bankkártya
1924;2016-12-20T19:30;540;0.0;7.5;0.0;készpénz
8014;2016-12-20T21:30;180;0.0;5.0;0.0;készpénz
602;2016-12-20T23:15;1080;0.0;15.75;1.0;bankkártya
1460;2016-12-21T13:45;900;0.0;9.25;0.0;készpénz
3017;2016-12-21T14:45;120;0.0;4.5;2.0;bankkártya
7923;2016-12-21T16:30;1620;0.0;21.5;0.0;készpénz
433;2016-12-21T17:15;1020;0.0;18.25;0.0;készpénz
6744;2016-12-21T18:00;1080;0.0;9.75;0.0;készpénz
3684;2016-12-21T19:15;480;0.0;7.0;0.0;készpénz
451;2016-12-21T21:00;420;0.0;6.75;2.0;bankkártya
4638;2016-12-21T23:00;600;0.0;8.75;3.0;bankkártya
5357;2016-12-22T01:30;660;0.0;10.5;1.0;bankkártya
8232;2016-12-22T13:00;840;0.0;14.25;0.0;készpénz
2121;2016-12-22T14:15;420;0.0;6.25;2.0;bankkártya
5729;2016-12-22T14:15;240;0.0;4.75;0.0;készpénz
8193;2016-12-22T14:45;780;0.0;8.0;2.0;bankkártya
8636;2016-12-22T17:30;480;0.0;6.5;0.0;készpénz
8022;2016-12-22T17:45;780;0.0;9.5;0.0;készpénz
1482;2016-12-22T17:45;300;0.0;5.5;0.0;készpénz
2457;2016-12-22T20:00;960;0.0;11.0;0.0;készpénz
